RunTime,ExecutableName
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER64.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER64.EXE
2024-02-12 04:52:26,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:46:22,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:52:07,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLEUPDATEONDEMAND.EXE
2024-02-11 03:46:26,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\TEMP\GUM9035.TMP\GOOGLEUPDATESETUP.EXE
2024-02-05 03:38:29,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-02-02 16:01:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-01-31 13:48:14,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-02-02 23:57:31,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\TEMP\EUB580.TMP\MICROSOFTEDGEUPDATE.EXE
2024-02-12 05:05:25,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:49:06,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:46:19,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 05:07:39,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:48:01,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:48:01,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:36:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:33:27,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:33:30,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:40:16,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-11 03:54:45,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-04 19:01:51,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-02 16:23:36,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-02 15:58:10,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-11 03:54:35,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOBSYNC.EXE
2024-02-04 19:01:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOBSYNC.EXE
2024-02-02 23:56:57,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOBSYNC.EXE
2024-01-31 13:49:31,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOBSYNC.EXE
2024-02-12 05:05:07,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-12 04:54:09,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-12 04:40:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-11 03:53:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-11 03:50:34,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-11 03:48:02,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-11 03:45:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE
2024-02-12 04:49:41,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-12 04:49:41,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-11 04:03:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-11 04:03:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-11 03:49:28,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
